descripcion,modelo_y_km,precio,ubicacion
Chevrolet Aveo Gti Limited Edicion Especial Mt 1600cc 3p Ct,2008 | 120.000 Km,15.800,Bogotá D.c.
Chevrolet Aveo Ls Mt 1600cc Aa,2012 | 119.000 Km,18.990,Bogotá D.c.
Chevrolet Aveo Family Mt 1500cc 4p Aa,2012 | 1.111 Km,19.990,Bogotá D.c.
Chevrolet Sail Ltz Sport Mt 1400cc 5p Aa 2ab Abs,2014 | 84.000 Km,23.000,Cundinamarca
Chevrolet Sail Lt Mt 1400cc 5p Aa Ab,2014 | 36.000 Km,24.600,Bogotá D.c.
Chevrolet Grand Vitara 1.6 L Mt 1600cc 3p,2012 | 40.000 Km,32.490,Bogotá D.c.
Chevrolet Sonic,2015 | 40 Km,33.600,Bogotá D.c.
Chevrolet Tracker Ls Tp 1800cc,2014 | 66.000 Km,40.900,Bogotá D.c.
"Chevrolet Traverse,3.6,aut.7 Puestos,techo,cuero,full Equipo",2013 | 48.000 Km,57.990,Bogotá D.c.
Chevrolet Astro,2017 | 1 Km,1.000.000,Bogotá D.c.
Chevrolet Corsa Corsa Chevy C2 Aut.full Equipo,2008 | 100.000 Km,11.990.000,Bogotá D.c.
Chevrolet Chevy C2 At 1600cc 4p,2008 | 100.000 Km,11.990.000,Bogotá D.c.
Chevrolet Chevy C2 Chevy C2,2008 | 100.000 Km,11.990.000,Bogotá D.c.
Chevrolet Spark,2010 | 95.000 Km,12.500.000,Antioquia
Chevrolet Chevy 1600 Cc Mecanico Aa 2008,2008 | 127.000 Km,12.900.000,Bogotá D.c.
Chevrolet Chevy C2 1600 Cc Mecanico Aa 2008,2008 | 127.000 Km,12.900.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Sa,2010 | 110.000 Km,13.000.000,Bogotá D.c.
Chevrolet Optra 1.6 L Mt 1600cc Aa,2009 | 292.000 Km,13.000.000,Bogotá D.c.
Chevrolet Spark 2008,2008 | 74.000 Km,13.100.000,Santander
Chevrolet Spark Go Mt 1000cc Aa Dh Ct,2008 | 120.000 Km,13.100.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2008 | 136.000 Km,13.200.000,Valle Del Cauca
Chevrolet Spark,2008 | 132.000 Km,13.300.000,Antioquia
Chevrolet Spark Lt [m200] Mt 1000cc Aa,2009 | 111.000 Km,13.300.000,Bogotá D.c.
Chevrolet Chevy C2 Comfort,2008 | 93.500 Km,13.400.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2008 | 82.450 Km,13.400.000,Bogotá D.c.
Chevrolet Chevy C2 2009,2009 | 125.706 Km,13.400.000,Bogotá D.c.
Chevrolet Spark Go Mt 1000cc Aa Dh Ct,2010 | 135.000 Km,13.400.000,Bogotá D.c.
Chevrolet Spark Go Next Mt 1000cc Aa Dh Ct,2008 | 131.000 Km,13.500.000,Bogotá D.c.
Chevrolet Spark/ 2009 Aire Vidrios 98 Mil Kmts Original!!!,2009 | 98.000 Km,13.500.000,Antioquia
Chevrolet Spark Lt Mt 1000cc Aa,2008 | 73.800 Km,13.500.000,Bogotá D.c.
Chevrolet Spark Lt [m200] Mt 1000cc Sa,2009 | 82.220 Km,13.500.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2008 | 110.220 Km,13.500.000,Risaralda
Chevrolet Spark,2012 | 46.000 Km,13.500.000,Bolívar
Chevrolet Chevy C2 Confort,2009 | 84.000 Km,13.500.000,Bogotá D.c.
Chevrolet Spark,2009 | 102 Km,13.500.000,Bogotá D.c.
Chevrolet Chevy C2 C2,2009 | 89.000 Km,13.500.000,Cundinamarca
Chevrolet Spark Gt 2008,2008 | 88.362 Km,13.500.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2008 | 76.000 Km,13.650.000,Bogotá D.c.
Chevrolet Chevy C2 2009,2009 | 86.000 Km,13.700.000,Valle Del Cauca
Chevrolet Spark,2011 | 135.000 Km,13.700.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Aa,2011 | 105.000 Km,13.700.000,Bogotá D.c.
Chevrolet Chevy C2 Automatico,2008 | 89.000 Km,13.800.000,Antioquia
Chevrolet Spark,2010 | 132.000 Km,13.800.000,Bogotá D.c.
Chevrolet Chevy,2008 | 136.000 Km,13.800.000,Santander
Chevrolet Chevy C2 C2,2009 | 102.800 Km,13.800.000,Risaralda
Chevrolet Sparkt Lt,2009 | 129.000 Km,13.800.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Aa,2010 | 100.690 Km,13.900.000,Bogotá D.c.
Chevrolet Spark Cronos Mt 1000cc,2010 | 86.000 Km,13.950.000,Bogotá D.c.
Chevrolet Aveo Gti 3 Puertas,2008 | 76.000 Km,14.000.000,Bogotá D.c.
Chevrolet Spark Life Mt 1000cc Aa,2009 | 87.600 Km,14.000.000,Bogotá D.c.
Chevrolet Spark Ls Mt 1000cc Sa,2011 | 184.000 Km,14.000.000,Santander
Chevrolet Spark 2009,2009 | 101.000 Km,14.000.000,Antioquia
Chevrolet Spark,2008 | 149.017 Km,14.000.000,Valle Del Cauca
Chevrolet Chevy C2 Chevy C2,2009 | 139.000 Km,14.200.000,Bogotá D.c.
Chevrolet Chevy C2 At 1600cc 4p,2009 | 139.000 Km,14.200.000,Bogotá D.c.
Chevrolet Aveo Emotion Gt I 1.6l Mt 3 P Aa,2008 | 96.000 Km,14.200.000,Bogotá D.c.
Chevrolet Spark Go Mt 1000cc Aa Ct,2009 | 111.000 Km,14.300.000,Bogotá D.c.
Chevrolet Spark Lt Mt 1000cc Aa,2009 | 101.000 Km,14.300.000,Antioquia
Chevrolet Spark 2011,2011 | 90.000 Km,14.300.000,Antioquia
Chevrolet Spark Go Next Mt 1000cc Aa Ct,2009 | 105.000 Km,14.400.000,Tolima
Chevrolet Spark,2009 | 88.200 Km,14.400.000,Bogotá D.c.
Chevrolet Chevy C2,2009 | 85.600 Km,14.500.000,Bogotá D.c.
Chevrolet Optra 2008,2008 | 123.000 Km,14.500.000,Antioquia
Chevrolet Aveo Emotion Gt I 1.6l Mt 3 P Aa,2008 | 100.286 Km,14.500.000,Bolívar
Chevrolet Aveo Emotion Gti Mt 1600 Cc 3p Aa,2009 | 119.680 Km,14.500.000,Córdoba
Chevrolet Aveo Gti Mt 1400cc 3p Aa,2008 | 101.000 Km,14.500.000,Bogotá D.c.
Chevrolet Spark,2011 | 51.900 Km,14.500.000,Bogotá D.c.
Chevrolet Spark,2012 | 82.500 Km,14.500.000,Bogotá D.c.
Chevrolet Spark Go Mt 1000cc Aa Ct,2009 | 60.000 Km,14.500.000,Bogotá D.c.
Chevrolet Spark,2011 | 107.200 Km,14.600.000,Bogotá D.c.
Chevrolet Aveo Gti Mt 1600cc 3p Aa,2008 | 117.000 Km,14.700.000,Bogotá D.c.
Chevrolet Aveo Gti Limited Mt 1600cc 3p Aa Ct,2008 | 110.000 Km,14.750.000,Bogotá D.c.
Chevrolet Spark,2012 | 130.000 Km,14.800.000,Bogotá D.c.
Chevrolet Spark,2012 | 55.000 Km,14.800.000,Bogotá D.c.
Chevrolet Spark,2009 | 125.000 Km,14.800.000,Bogotá D.c.
Chevrolet Spark,2009 | 95.800 Km,14.850.000,Bogotá D.c.
Chevrolet Aveo 2008,2008 | 119.000 Km,14.900.000,Antioquia
Chevrolet Chevy C2 Sedan,2009 | 73.000 Km,14.900.000,Antioquia
Chevrolet Spark Go Mt 1000cc Aa Ct,2010 | 95.000 Km,14.900.000,Bogotá D.c.
Chevrolet Aveo Ls Mt 1600cc Aa,2008 | 145.000 Km,14.900.000,Antioquia
Chevrolet Aveo 2009,2009 | 126.000 Km,14.900.000,Antioquia
Chevrolet Spark Go Mt 1000cc Aa Ct,2009 | 109.000 Km,14.900.000,Bogotá D.c.
Chevrolet Optra 1.6 L Mt 1600cc Aa,2008 | 152.200 Km,14.900.000,Antioquia
Chevrolet Spark Gt Lt Mt 1200cc 5p,2008 | 45.000 Km,14.900.000,Antioquia
Chevrolet Spark Go Mt 1000cc Aa Dh Ct,2009 | 98.000 Km,14.900.000,Antioquia
Chevrolet Aveo Five Mt 1400cc 5p Sa 1ab,2008 | 85.000 Km,14.900.000,Bogotá D.c.
Chevrolet Spark,2012 | 106.000 Km,14.990.000,Bogotá D.c.
Chevrolet Aveo Family Mt 1500cc 4p Aa,2010 | 110.000 Km,14.990.000,Bogotá D.c.
Chevrolet Spark,2011 | 55.000 Km,15.000.000,Bogotá D.c.
Chevrolet Aveo Aveo Mt,2008 | 110.000 Km,15.000.000,Bogotá D.c.
Chevrolet Aveo Five Mt 1600cc 5p Aa 1ab,2008 | 117.049 Km,15.000.000,Antioquia
Chevrolet Spark,2012 | 71.900 Km,15.000.000,Bogotá D.c.
Chevrolet Spark,2012 | 102.000 Km,15.000.000,Cundinamarca
